,cluster,log_size,lgbm_default_training_cov_3.5_fbeta,lgbm_default_validation_cov_3.5_fbeta,lgbm_optimal_training_cov_3.5_fbeta,lgbm_optimal_validation_cov_3.5_fbeta,lr_default_training_cov_3.5_fbeta,lr_default_validation_cov_3.5_fbeta,lr_optimal_training_cov_3.5_fbeta,lr_optimal_validation_cov_3.5_fbeta,rfmulti_default_training_cov_3.5_fbeta,rfmulti_default_validation_cov_3.5_fbeta,rfmulti_optimal_training_cov_3.5_fbeta,rfmulti_optimal_validation_cov_3.5_fbeta,svm_default_training_cov_3.5_fbeta,svm_default_validation_cov_3.5_fbeta,svm_optimal_training_cov_3.5_fbeta,svm_optimal_validation_cov_3.5_fbeta,nn_default_training_cov_3.5_fbeta,nn_default_validation_cov_3.5_fbeta,nn_optimal_training_cov_3.5_fbeta,nn_optimal_validation_cov_3.5_fbeta
51,Exc L5-6 THEMIS DCSTAMP,5.7279204545632,0.7142857142857142,0.2419354838709677,1.0,0.9000000000000001,1.0,0.8682634730538923,1.0,0.9210526315789476,1.0,0.8695652173913044,1.0,0.9210526315789476,1.0,0.9210526315789476,1.0,1.0,1.0,0.7407407407407408,1.0,1.0
52,Astro L1-2 FGFR3 GFAP,5.930737337562888,0.9171597633136096,0.6944444444444445,1.0,0.7954545454545456,1.0,0.9090909090909092,1.0,0.9375,1.0,0.7142857142857143,1.0,0.625,1.0,0.9090909090909092,1.0,0.9375,1.0,0.8333333333333334,1.0,0.9375
53,Astro L1-6 FGFR3 SLC14A1,7.845490050944375,0.9074733096085408,0.8168316831683168,1.0,0.9,1.0,0.9793814432989691,1.0,0.9297520661157024,1.0,0.8646616541353384,1.0,0.8518518518518519,1.0,0.950413223140496,1.0,0.9146341463414634,1.0,0.9,1.0,0.950413223140496
54,Exc L3-5 RORB COL22A1,7.321928094887363,0.9221311475409836,0.75,1.0,0.9090909090909092,1.0,0.9302325581395351,1.0,0.9375,1.0,0.8806818181818183,1.0,0.9011627906976742,0.9978991596638654,0.9375,1.0,0.9451219512195124,1.0,0.9523809523809524,1.0,0.9090909090909092
55,Inh L3-6 SST NPY,3.906890595608519,0.2352941176470588,0.33333333333333337,1.0,1.0,1.0,0.9433962264150944,1.0,0.9090909090909092,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
56,Inh L3-6 SST HPGD,5.906890595608518,0.8841463414634146,0.8333333333333334,1.0,0.9821428571428572,1.0,1.0,1.0,0.9821428571428572,1.0,0.9375,1.0,0.9821428571428572,0.9821428571428572,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9166666666666666,1.0,0.9375
57,Exc L6 FEZF2 OR2T8,4.247927513443585,0.6944444444444444,0.20833333333333331,1.0,0.8333333333333334,1.0,0.9433962264150944,1.0,0.625,1.0,0.625,1.0,0.625,0.9821428571428572,0.0,1.0,0.8333333333333334,1.0,0.625,1.0,0.625
58,Inh L1-2 PAX6 CDH12,6.491853096329675,0.7285714285714284,0.6140350877192983,1.0,0.9183673469387754,1.0,0.9090909090909092,1.0,0.9042553191489364,1.0,0.8490566037735848,1.0,0.9183673469387754,1.0,0.957446808510638,1.0,1.0,1.0,0.9183673469387754,1.0,0.957446808510638
59,Exc L5-6 RORB TTC12,7.383704292474053,0.9011627906976744,0.6741573033707865,1.0,0.8823529411764705,1.0,0.9433962264150944,1.0,0.8988764044943821,1.0,0.8791208791208792,1.0,0.8908045977011494,0.9979838709677421,0.9415584415584416,1.0,0.8950617283950616,1.0,0.8235294117647058,1.0,0.8157894736842105
60,Exc L5-6 SLC17A7 IL15,5.807354922057604,0.8235294117647058,0.6716417910447763,1.0,0.746268656716418,1.0,0.7692307692307692,1.0,0.7446808510638299,1.0,0.8181818181818183,1.0,0.8474576271186441,1.0,0.7843137254901963,1.0,0.7446808510638299,1.0,0.7446808510638299,1.0,0.7627118644067796
